i,j,t,price,advertised
4,7,0,2.1374511574572037,0
6,1,0,0.8633406232955072,0
8,6,0,0.7991545048137135,0
8,25,0,3.023893482648194,0
9,6,0,0.7991545048137135,0
10,30,0,1.9613645717401385,0
10,38,0,1.5376776891587869,0
11,5,0,1.7508352836007226,0
11,6,0,0.7991545048137135,0
11,18,0,1.9614636781999089,0
13,5,0,1.7508352836007226,0
14,30,0,1.9613645717401385,0
15,6,0,0.7991545048137135,0
15,21,0,0.875687688935052,0
23,30,0,1.9613645717401385,0
25,6,0,0.7991545048137135,0
25,32,0,1.795104620583242,0
27,32,0,1.795104620583242,0
28,6,0,0.7991545048137135,0
29,2,0,3.3660602524727894,0
29,39,0,1.2818617174526399,0
32,6,0,0.7991545048137135,0
32,15,0,0.9243504260235744,0
35,2,0,3.3660602524727894,0
36,5,0,1.7508352836007226,0
36,39,0,1.2818617174526399,0
37,6,0,0.7991545048137135,0
37,30,0,1.9613645717401385,0
38,30,0,1.9613645717401385,0
40,13,0,2.2954513216770565,0
40,34,0,2.213436921491774,0
40,38,0,1.5376776891587869,0
41,5,0,1.7508352836007226,0
42,30,0,1.9613645717401385,0
43,34,0,2.213436921491774,0
44,15,0,0.9243504260235744,0
44,34,0,2.213436921491774,0
47,4,0,2.0121899898882014,0
47,6,0,0.7991545048137135,0
47,30,0,1.9613645717401385,0
50,5,0,1.7508352836007226,0
50,21,0,0.875687688935052,0
51,6,0,0.7991545048137135,0
53,6,0,0.7991545048137135,0
54,5,0,1.7508352836007226,0
57,14,0,3.1496197739380114,0
58,5,0,1.7508352836007226,0
62,7,0,2.1374511574572037,0
65,6,0,0.7991545048137135,0
67,1,0,0.8633406232955072,0
67,6,0,0.7991545048137135,0
69,5,0,1.7508352836007226,0
69,6,0,0.7991545048137135,0
69,32,0,1.795104620583242,0
70,13,0,2.2954513216770565,0
71,15,0,0.9243504260235744,0
72,21,0,0.875687688935052,0
72,39,0,1.2818617174526399,0
73,6,0,0.7991545048137135,0
74,1,0,0.8633406232955072,0
75,6,0,0.7991545048137135,0
75,33,0,0.2777588429399788,0
76,5,0,1.7508352836007226,0
79,5,0,1.7508352836007226,0
79,6,0,0.7991545048137135,0
79,15,0,0.9243504260235744,0
79,18,0,1.9614636781999089,0
81,6,0,0.7991545048137135,0
81,15,0,0.9243504260235744,0
81,32,0,1.795104620583242,0
83,3,0,0.6999853275868002,0
83,39,0,1.2818617174526399,0
84,6,0,0.7991545048137135,0
84,7,0,2.1374511574572037,0
84,15,0,0.9243504260235744,0
85,3,0,0.6999853275868002,0
85,5,0,1.7508352836007226,0
85,39,0,1.2818617174526399,0
